exam_category,exam_type,quiz_id,en_quiz_title,most_vote,correct,en_A,en_B,en_C,en_D,en_E,en_F,ko_quiz_title,ko_A,ko_B,ko_C,ko_D,ko_E,subject,choice_count,ko_F
udemy,CLF-01,39,Which of the following statements are CORRECT regarding the Availability Zone (AZ) specific characteristics of Amazon Elastic Block Store (EBS) and Amazon Elastic File System (Amazon EFS) storage types?,D,D,EBS volume can be attached to one or more instances in multiple Availability Zones (AZ) and EFS file system can be mounted on instances in the same Availability Zone (AZ),EBS volume can be attached to a single instance in the same Availability Zone (AZ) and EFS file system can only be mounted on instances in the same Availability Zone (AZ),EBS volume can be attached to one or more instances in multiple Availability Zones (AZ) and EFS file system can be mounted on instances across multiple Availability Zones (AZ),EBS volume can be attached to a single instance in the same Availability Zone (AZ) whereas EFS file system can be mounted on instances across multiple Availability Zones (AZ),,,다음 중 Amazon Elastic Block Store(EBS) 및 Amazon Elastic File System(Amazon EFS) 스토리지 유형의 가용 영역(AZ) 특정 특성에 관한 올바른 설명은 무엇입니까?,EBS 볼륨은 여러 가용 영역(AZ)에 있는 하나 이상의 인스턴스에 연결할 수 있으며 EFS 파일 시스템은 동일한 가용 영역(AZ)에 있는 인스턴스에 마운트할 수 있습니다.,EBS 볼륨은 동일한 가용 영역(AZ)의 단일 인스턴스에 연결할 수 있으며 EFS 파일 시스템은 동일한 가용 영역(AZ)의 인스턴스에만 탑재할 수 있습니다.,EBS 볼륨은 여러 가용 영역(AZ)에 있는 하나 이상의 인스턴스에 연결할 수 있으며 EFS 파일 시스템은 여러 가용 영역(AZ)의 인스턴스에 마운트할 수 있습니다.,EBS 볼륨은 동일한 가용 영역(AZ)의 단일 인스턴스에 연결할 수 있는 반면 EFS 파일 시스템은 여러 가용 영역(AZ)의 인스턴스에 마운트할 수 있습니다.,,0,,
udemy,CLF-01,40,Which of the following is the MOST cost-effective option to purchase an EC2 Reserved Instance (RI)?,B,B,No upfront payment option with standard 3-years term,Partial upfront payment option with standard 3-years term,No upfront payment option with standard 1-year term,All upfront payment option with the standard 1-year term,,,다음 중 EC2 예약 인스턴스(RI)를 구매하는 가장 비용 효율적인 옵션은 무엇입니까?,표준 3년 기간의 선불 옵션 없음,표준 3년 기간의 부분 선결제 옵션,표준 1년 기간의 선결제 옵션 없음,표준 1년 기간의 모든 선결제 옵션,,0,,
udemy,CLF-01,41,A company wants to identify the optimal AWS resource configuration for its workloads so that the company can reduce costs and increase workload performance. Which of the following services can be used to meet this requirement?,C,C,AWS Cost Explorer,AWS Systems Manager,AWS Compute Optimizer,AWS Budgets,,,회사는 비용을 줄이고 워크로드 성능을 높일 수 있도록 워크로드에 대한 최적의 AWS 리소스 구성을 식별하려고 합니다. 다음 중 이 요구 사항을 충족하는 데 사용할 수 있는 서비스는 무엇입니까?,AWS 비용 탐색기,AWS 시스템 관리자,AWS 컴퓨팅 옵티마이저,AWS 예산,,0,,
udemy,CLF-01,42,"A cyber forensics team has detected that AWS owned IP-addresses are being used to carry out malicious attacks. As this constitutes prohibited use of AWS services, which of the following is the correct solution to address this issue?",C,C,"Write an email to Jeff Bezos, the founder of Amazon, with the details of the incident",Contact AWS Developer Forum moderators,Contact AWS Abuse Team,Contact AWS Support,,,사이버 포렌식 팀이 AWS 소유 IP 주소가 악의적인 공격을 수행하는 데 사용되고 있음을 감지했습니다. 이는 AWS 서비스의 금지된 사용을 구성하므로 다음 중 이 문제를 해결하기 위한 올바른 해결책은 무엇입니까?,사건의 세부 사항과 함께 Amazon 설립자 Jeff Bezos에게 이메일을 작성하십시오.,AWS 개발자 포럼 중재자에게 문의,AWS 남용 팀에 문의,AWS 지원팀에 문의,,0,,
udemy,CLF-01,43,"A startup wants to provision an EC2 instance for the lowest possible cost for a long-term duration but needs to make sure that the instance would never be interrupted. As a Cloud Practitioner, which of the following options would you recommend?",D,D,EC2 On-Demand Instance,EC2 Dedicated Host,EC2 Spot Instance,EC2 Reserved Instance (RI),,,스타트업은 장기적으로 가능한 최저 비용으로 EC2 인스턴스를 프로비저닝하려고 하지만 인스턴스가 중단되지 않도록 해야 합니다. 클라우드 실무자로서 다음 중 어떤 옵션을 추천하시겠습니까?,EC2 온디맨드 인스턴스,EC2 전용 호스트,EC2 스팟 인스턴스,EC2 예약 인스턴스(RI),,0,,
udemy,CLF-01,44,Which of the following AWS services has encryption enabled by default?,A,A,AWS CloudTrail Logs,Amazon Relational Database Service (Amazon RDS),Amazon Elastic Block Store (Amazon EBS),Amazon Elastic File System (Amazon EFS),,,다음 중 기본적으로 암호화가 활성화된 AWS 서비스는 무엇입니까?,AWS CloudTrail 로그,Amazon 관계형 데이터베이스 서비스(Amazon RDS),Amazon Elastic Block Store(Amazon EBS),Amazon 탄력적 파일 시스템(Amazon EFS),,0,,
udemy,CLF-01,45,Which of the following entities applies patches to the underlying OS for Amazon Aurora?,A,A,The AWS Product Team automatically,The AWS customer by SSHing on the instances,The AWS customer by using AWS Systems Manager,The AWS Support after receiving a request from the customer,,,다음 중 Amazon Aurora의 기본 OS에 패치를 적용하는 엔티티는 무엇입니까?,AWS 제품 팀은 자동으로,인스턴스에서 SSHing을 통한 AWS 고객,AWS Systems Manager를 사용하는 AWS 고객,고객으로부터 요청을 받은 후 AWS Support,,0,,
udemy,CLF-01,46,"A research group wants to use EC2 instances to run a scientific computation application that has a fault tolerant architecture. The application needs high-performance hardware disks that provide fast I/O performance. As a Cloud Practitioner, which of the following storage options would you recommend as the MOST cost-effective solution?",D,D,Amazon Simple Storage Service (Amazon S3),Amazon Elastic File System (Amazon EFS),Amazon Elastic Block Store (EBS),Instance Store,,,연구 그룹은 EC2 인스턴스를 사용하여 내결함성 아키텍처가 있는 과학적 컴퓨팅 애플리케이션을 실행하려고 합니다. 애플리케이션에는 빠른 I/O 성능을 제공하는 고성능 하드웨어 디스크가 필요합니다. 클라우드 실무자로서 다음 중 가장 비용 효율적인 솔루션으로 권장하는 스토리지 옵션은 무엇입니까?,Amazon Simple Storage Service(Amazon S3),Amazon 탄력적 파일 시스템(Amazon EFS),아마존 엘라스틱 블록 스토어(EBS),인스턴스 스토어,,0,,
udemy,CLF-01,47,Which of the following AWS services can be used to connect a company's on-premises environment to a VPC without using the public internet?,A,A,AWS Direct Connect,VPC Endpoint,AWS Site-to-Site VPN,Internet Gateway,,,다음 중 퍼블릭 인터넷을 사용하지 않고 회사의 온프레미스 환경을 VPC에 연결하는 데 사용할 수 있는 AWS 서비스는 무엇입니까?,AWS 다이렉트 커넥트,VPC 엔드포인트,AWS 사이트 간 VPN,인터넷 게이트웨이,,0,,
udemy,CLF-01,48,"Which AWS services can be used to facilitate organizational change management, part of the Reliability pillar of AWS Well-Architected Framework? (Select three)",BCE,BCE,Amazon Inspector,AWS Config,Amazon CloudWatch,Amazon GuardDuty,AWS CloudTrail,AWS Trusted Advisor,AWS Well-Architected 프레임워크의 안정성 원칙의 일부인 조직 변경 관리를 촉진하는 데 사용할 수 있는 AWS 서비스는 무엇입니까? (3개 선택),아마존 인스펙터,AWS 구성,아마존 클라우드워치,Amazon GuardDuty,AWS CloudTrail,0,,AWS 신뢰할 수 있는 조언자
udemy,CLF-01,49,Which type of cloud computing does Amazon Elastic Compute Cloud (EC2) represent?,B,B,Software as a Service (SaaS),Infrastructure as a Service (IaaS),Network as a Service (NaaS),Platform as a Service (PaaS),,,Amazon Elastic Compute Cloud(EC2)가 나타내는 클라우드 컴퓨팅 유형은 무엇입니까?,서비스형 소프트웨어(SaaS),서비스형 인프라(IaaS),서비스형 네트워크(NaaS),서비스형 플랫폼(PaaS),,0,,
udemy,CLF-01,50,Which of the following are the storage services offered by the AWS Cloud? (Select two),BD,BD,Amazon Elastic Compute Cloud (Amazon EC2),Amazon Simple Storage Service (Amazon S3),Amazon Simple Queue Service (SQS),Amazon Elastic File System (Amazon EFS),Amazon Simple Notification Service (SNS),,다음 중 AWS 클라우드에서 제공하는 스토리지 서비스는 무엇입니까? (2개 선택),아마존 엘라스틱 컴퓨트 클라우드(아마존 EC2),Amazon Simple Storage Service(Amazon S3),Amazon 단순 대기열 서비스(SQS),Amazon 탄력적 파일 시스템(Amazon EFS),Amazon 단순 알림 서비스(SNS),0,,
udemy,CLF-01,51,Which of the following is a serverless AWS service?,C,C,Amazon EMR,Amazon Elastic Compute Cloud (Amazon EC2),AWS Lambda,AWS Elastic Beanstalk,,,다음 중 서버리스 AWS 서비스는 무엇입니까?,아마존 EMR,아마존 엘라스틱 컴퓨트 클라우드(아마존 EC2),AWS 람다,AWS Elastic Beanstalk,,0,,
udemy,CLF-01,52,Which of the following Amazon S3 storage classes takes the most time to retrieve data (also known as first byte latency)?,D,D,Amazon S3 Glacier Flexible Retrieval,Amazon S3 Standard,Amazon S3 Intelligent-Tiering,Amazon S3 Glacier Deep Archive,,,다음 Amazon S3 스토리지 클래스 중 데이터를 검색하는 데 가장 많은 시간이 걸리는 것은 무엇입니까(첫 번째 바이트 지연 시간이라고도 함)?,Amazon S3 Glacier 유연한 검색,아마존 S3 스탠다드,Amazon S3 지능형 계층화,Amazon S3 Glacier 딥 아카이브,,0,,
udemy,CLF-01,53,Which of the following AWS services should be used to automatically distribute incoming traffic across multiple targets?,B,B,AWS Elastic Beanstalk,AWS Elastic Load Balancing (ELB),Amazon OpenSearch Service,AWS Auto Scaling,,,다음 중 수신 트래픽을 여러 대상에 자동으로 분산하는 데 사용해야 하는 AWS 서비스는 무엇입니까?,AWS Elastic Beanstalk,AWS 엘라스틱 로드 밸런싱(ELB),아마존 오픈서치 서비스,AWS 자동 확장,,0,,
udemy,CLF-01,54,"A Project Manager, working on AWS for the first time, is confused about how credits are used in AWS. There are two credits available in the manager's account. Credit one is for $100, expires July 2022, and can be used for either Amazon S3 or Amazon EC2. Credit two is for $50, expires December 2022, and can be used only for Amazon EC2. The manager's AWS account has incurred two charges: $1000 for Amazon EC2 and $500 for Amazon S3.What will be the outcome on the overall bill once the credits are used? (Select two)",CE,CE,"Then, credit two is applied to $500 for Amazon S3 usage","Credit one is applied, which expires in July, to Amazon S3 usage which leaves you with a $1000 Amazon EC2 charge and a $400 Amazon S3 charge","Then, credit two is applied to the remaining $900 of Amazon EC2 usage",Only one credit can be used in one billing cycle and the customer has a choice to choose from the available ones,"Credit one is applied, which expires in July, to the Amazon EC2 charge which leaves you with a $900 Amazon EC2 charge and a $500 Amazon S3 charge",,"AWS에서 처음으로 작업하는 프로젝트 관리자는 AWS에서 크레딧이 사용되는 방식에 대해 혼란스러워합니다. 관리자의 계정에는 두 개의 크레딧이 있습니다. 크레딧 1은 100달러이고 2022년 7월에 만료되며 Amazon S3 또는 Amazon EC2에 사용할 수 있습니다. 크레딧 2는 50달러이고 2022년 12월에 만료되며 Amazon EC2에만 사용할 수 있습니다. 관리자의 AWS 계정에서 Amazon EC2의 경우 $1000, Amazon S3의 경우 $500의 두 가지 요금이 발생했습니다.크레딧을 사용하면 전체 청구서의 결과는 어떻게 됩니까? (2개 선택)",그런 다음 크레딧 2가 Amazon S3 사용량 $500에 적용됩니다.,7월에 만료되는 크레딧 1이 Amazon S3 사용에 적용되어 $1000 Amazon EC2 요금과 $400 Amazon S3 요금이 남습니다.,그런 다음 Amazon EC2 사용량의 나머지 $900에 크레딧 2가 적용됩니다.,하나의 청구 주기에 하나의 크레딧만 사용할 수 있으며 고객은 사용 가능한 크레딧 중에서 선택할 수 있습니다.,7월에 만료되는 크레딧 1이 Amazon EC2 요금에 적용되어 $900 Amazon EC2 요금과 $500 Amazon S3 요금이 남습니다.,0,,
